panel,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,glomeruli_diagnostics,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat,megamat
odor,3mtp @ -5,va @ -4,t2h @ -6,ms @ -3,a-terp @ -3,geos @ -5,e3hb @ -6,mhex @ -7,ma @ -7,ea @ -8,2-but @ -6,2h @ -6,ga @ -4,HCl @ -1,carene @ -3,farn @ -2,4h-ol @ -6,"2,3-b @ -6",p-cre @ -3,aphe @ -5,aphe @ -4,1-6ol @ -6,paa @ -5,fench @ -5,CO2 @ 0,elac @ -7,2h @ -3,IaA @ -3,pa @ -3,2-but @ -3,eb @ -3,ep @ -3,aa @ -3,va @ -3,B-cit @ -3,Lin @ -3,6al @ -3,t2h @ -3,1-8ol @ -3,1-5ol @ -3,1-6ol @ -3,benz @ -3,ms @ -3
glomerulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,14.572869250117188,14.14994504360524,16.18339419018269,93.11378468058699,92.63753454062508,13.74030739317552,7.314726693041172,11.029891629136968,11.653220960733904,8.08010568099792,13.577552907632894,9.059805865114164,7.063420241991767,18.066567800883078,20.969993942483907,13.140489927633617,14.081719780722766,12.963170730722233,74.56207689165569,18.892690022318106,24.08062868979186,8.42767077123401,10.125102304958467,7.988105841858919,6.388424569951979,2.4415469038935362,51.02266965376323,46.627315019929966,50.45836117254205,20.6362476711632,27.17577694654751,26.191038937490475,7.24145313179524,10.51184156814246,59.507985670359034,66.23286236240426,38.729325472404604,52.11879120846524,69.76423872049018,46.53551986331999,61.87999286193484,57.44913350479996,50.61063277112659
DA2,-4.696781367806825,1.6166139400384867,21.40760726718165,-4.243810367343981,32.594266795020765,153.92680639756338,-5.971763801012459,-0.212628928947616,-1.749902994802412,0.7552490545708959,2.2943107678692685,1.1265095216555183,14.67149208181855,-1.004184089717883,4.74092953445978,10.42078912125657,7.528238955884297,1.7620030598470369,-21.4524243092348,4.389671925540301,11.077824329489879,0.6834242851460365,-0.4788168557787955,-1.9664829421819023,2.5152523760758494,9.058363818862675,22.89650387993753,13.759106651788416,30.009571717345448,12.431758798770595,15.666473456314495,11.522802964603027,8.54378053449239,19.7107687440014,6.429043337207788,13.972028268276205,30.68292662135836,37.88082629946367,10.47676305744936,23.997848691434026,25.66648504370816,16.788617603721008,5.79481897596031
DC1,6.04472850692311,-17.571027198379518,1.6840541776344464,7.67839956061461,47.28797426407064,-2.9777702505799897,-13.473011821219805,5.636841973105697,0.8406314389681594,-9.427987682285115,-7.462144794684958,-8.794446195071416,-11.667528941996839,-25.75569540921611,47.48880815971992,-12.461927130428082,-9.491657739970465,-18.421153235688195,-9.189137213581517,-17.63323217280398,-16.20272137973504,4.673630674137836,-4.513482568525422,-8.129174435767261,33.85074900735875,-11.101045605706584,36.471063801604686,42.217741528386036,19.472245205942322,-6.431876126106517,6.049996586020119,-5.465990897591399,-23.214123798906055,-15.742538780798261,5.82942701953683,23.15605582554857,1.71626987210986,3.3466837073541758,29.661309727049417,9.427758609194138,18.786729158446054,-3.187386928077348,-6.507242951427953
DC2,10.895066001174408,10.237606455818776,5.62204877408303,15.327453995795597,9.388460195322143,10.789170684067273,21.645180658967856,5.63297701567098,3.9969811191921014,11.20025285261938,8.131482055861861,1.3713825367869528,5.336829992545456,13.082704368367114,8.53077885083579,11.865595112062062,9.068323109927391,15.390508509802196,-20.742620515762766,5.913740268676544,9.226712180500646,36.26867054355506,0.508385549818707,9.10284814077188,20.49958653079798,10.146155076217745,120.64903912042253,50.65404497174469,151.2839804002333,19.3442478960727,29.877361505502293,28.607839768954666,33.06741386951652,16.46316154574031,6.647545376397475,79.96261926126867,128.00731918262997,142.59994300859339,104.09271713364372,145.83639726700446,205.76928686498093,25.026596652774266,5.785951889527084
DC3,2.696477493909061,5.539564924443662,2.4891087811094668,1.8513676229547005,6.514459396295591,0.3988699570241579,3.8457562091497866,0.45623592961741927,-0.393854532465054,5.25347070711442,2.019970255798743,-4.322054482737027,1.98372432960013,1.208167968547919,0.6602646133038219,95.77514374355103,3.682379707830031,1.7819489033353264,14.629954495447574,11.86303904732914,-2.4914068494437314,9.629871355333261,-1.1492118054644471,9.391988344962288,17.449442122224998,6.838817845838376,11.577598392972009,10.776265895509093,17.123240756370464,5.016270711341456,7.927596070905439,11.170023986482578,2.164198514337558,7.9394973950905,7.648549436697716,14.424809282920275,14.461954627732016,10.059154934341905,21.36678369544696,15.322432767631515,28.761779483486237,9.307728627195534,5.476349074264276
DC4,9.19880463329608,5.504482950743885,8.543080440965866,6.720475744272661,5.925625604523759,5.151400812898587,4.840300251707286,5.623985527318284,3.568133198079449,4.315086624741745,4.04455145390855,4.616974533475818,2.0236495834862067,159.18684055022052,3.3720345862174206,3.591402380312771,18.112950356257837,4.750414054877432,5.837409315505789,5.8082519444189336,-0.5143069435666937,6.6239707488128055,5.206023104302617,8.038671679854076,16.089512406408353,3.201078755466528,49.24747637598955,26.018545471464375,45.01644556978754,10.17907392682688,18.934607171016044,11.813103592848588,78.24653004046752,172.1334155768736,8.016364917517146,9.20951074862346,21.63630936922017,19.82820942885539,8.831029486142526,13.409756480665775,13.854084892618006,15.665576397943731,4.069202455898957
DL1,8.718982941290413,18.515537425042023,6.212793354680539,63.89426123025847,-1.1469865699939275,-8.042098845977705,-6.146732253181439,-0.9359379878190927,8.534647235789528,6.131081974657859,8.401706119029866,-2.4768830513045286,5.3837871739631105,12.277759669074507,1.385056705586768,6.212577055971007,8.248439993621274,10.389003659890166,104.2196779311507,38.97679990247938,105.66108375544667,8.90824215925415,6.196539240821748,10.560861549052152,-7.1017522311970085,3.47698775173062,12.762683757042218,90.2592762186068,17.202417284108897,20.807653562879732,31.161431493186203,36.86706025926916,6.56367420730834,20.75470305103536,0.8298328142437614,-6.763152209522441,10.157860168926613,13.96402897659963,-2.8150283213599243,13.689722974636593,18.297704897413496,72.53140842302548,70.11164381421368
DL2d,27.706547521715823,62.76985742339156,29.755152949626215,37.392584620356125,35.833512275733966,24.44361924255778,15.2245627206256,29.859734279128133,26.504091712859857,23.26833017889231,25.001259165214222,23.850990036901322,33.674756161603526,13.78842536252204,29.843413637690908,33.920643532502055,20.66773906127682,30.45205896820998,11.092848031866184,20.632416523582624,26.553367399168604,21.40396341758427,32.19354053854081,26.59229243343377,-8.183326174586208,31.264593643025407,61.51332631037076,17.49432078734848,13.236243103659477,17.327097956468837,39.21184889725945,25.73954751552046,33.00328573555638,64.14027908550716,34.16387887454633,42.87681273988184,58.504758387074666,63.87088850861221,19.453213964954415,4.041840619679743,20.334134436932235,53.49891506765075,34.398149615711674
