date_imaged,fly_num,thorimage_name,cell_mask_coord,metric,trial_row,trial_col,Fc,F,Fneu,spks,Fc_smooth,Fc_zscore,Fc_zscore_smoothed,Fc_normed,Fc_normed_smoothed,title_str,abbrev_row,conc_row,abbrev_col,conc_col
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-5ol @ -3.0,0.27086220255238597,0.26934209417442984,0.23877168788261902,0.29733655180573915,0.2703998926914322,0.33302564284832725,0.33135610848115643,0.33192140803436765,0.330239279111535,2022-10-10/1/megamat0,1-5ol,-3.0,1-5ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-6ol @ -3.0,0.3033431047993974,0.2992781254059725,0.2071218181263378,0.34434937948371447,0.30289269006684244,0.4113785397614072,0.40992311764451617,0.4086301261429239,0.4071894272736507,2022-10-10/1/megamat0,1-5ol,-3.0,1-6ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-8ol @ -3.0,0.5740339028147469,0.5595616170008643,0.28721514675355886,0.5577755894857002,0.5734696451718386,0.6779874727212913,0.676955243242565,0.6769218668967374,0.6758721758464782,2022-10-10/1/megamat0,1-5ol,-3.0,1-8ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,2-but @ -3.0,0.93156294922631,0.9079149644890676,0.44792414013547216,0.9360108977442904,0.9312996889479722,0.9190510520553852,0.9192120683864555,0.918200413918652,0.9183638421007454,2022-10-10/1/megamat0,1-5ol,-3.0,2-but,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,2h @ -3.0,0.8492193293642754,0.8357701115096879,0.44797852570559216,0.8648565136779487,0.8494154284542125,0.8507139154112253,0.8506783693294826,0.8503708267525047,0.8503405379958668,2022-10-10/1/megamat0,1-5ol,-3.0,2h,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,6al @ -3.0,0.4685735814298251,0.4607450121289261,0.27553499414431215,0.5813447554513114,0.46827035176128196,0.5776455848592208,0.5764214661643253,0.5770958441532985,0.575864452195151,2022-10-10/1/megamat0,1-5ol,-3.0,6al,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,B-cit @ -3.0,0.8661281731086232,0.8501366647262496,0.5186431672822293,0.8691676872977031,0.8657392615002792,0.9308978511263253,0.9304560056186943,0.9308123617207009,0.9303665372986641,2022-10-10/1/megamat0,1-5ol,-3.0,B-cit,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,IaA @ -3.0,0.9720756458009823,0.9575714338371741,0.47811225264750173,0.9751696016682655,0.9723125434587244,0.9728728661680057,0.9732902632257294,0.9718976243946515,0.9723191889258556,2022-10-10/1/megamat0,1-5ol,-3.0,IaA,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,Lin @ -3.0,0.9206383385318995,0.9025300736546966,0.4795218724037266,0.9253676871585768,0.920385506696126,0.953387997240687,0.9532494314624407,0.9524832174868381,0.9523512605169575,2022-10-10/1/megamat0,1-5ol,-3.0,Lin,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,aa @ -3.0,0.9816063305271171,0.9618715809770685,0.547203949657997,0.9427991817323313,0.981889674962392,1.015774583467543,1.0161702086327915,1.0155103385023079,1.015908388132855,2022-10-10/1/megamat0,1-5ol,-3.0,aa,-3.0
