date_imaged,fly_num,thorimage_name,cell_mask_coord,metric,stim_row,stim_col,Fc,F,Fneu,spks,Fc_smooth,Fc_zscore,Fc_zscore_smoothed,Fc_normed,Fc_normed_smoothed,title_str,abbrev_row,conc_row,abbrev_col,conc_col
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-5ol @ -3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-10-10/1/megamat0,1-5ol,-3.0,1-5ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-6ol @ -3.0,0.14927531301195474,0.14773884959531136,0.0876695272988669,0.17227076539766273,0.1490666102989443,0.2414117346119683,0.24064688555737146,0.23902881475416782,0.23827851310404657,2022-10-10/1/megamat0,1-5ol,-3.0,1-6ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,1-8ol @ -3.0,0.46751649574457665,0.4516998415199375,0.16376314753820398,0.4374115718452498,0.467017388745265,0.5776407889434901,0.5769236343608479,0.5771309008715471,0.5764049295298828,2022-10-10/1/megamat0,1-5ol,-3.0,1-8ol,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,2-but @ -3.0,0.92162323299634,0.8938339364034537,0.3635970794457516,0.9212930677756948,0.9213118436948847,0.8999271163469946,0.9003288606047568,0.8988339337056401,0.8992382504869758,2022-10-10/1/megamat0,1-5ol,-3.0,2-but,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,2h @ -3.0,0.8171571282840596,0.8011820534496319,0.3563255952506881,0.8295632691375181,0.8175043703738527,0.8115600826847784,0.8118276091069557,0.8114840426665673,0.8117590749706903,2022-10-10/1/megamat0,1-5ol,-3.0,2h,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,6al @ -3.0,0.3753703651557816,0.36721093326070986,0.16123011186665237,0.5132220871323425,0.37523171683711154,0.47197997738396436,0.47114761660883575,0.4720493747470039,0.47120998766397837,2022-10-10/1/megamat0,1-5ol,-3.0,6al,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,B-cit @ -3.0,0.8133026787029658,0.7924544390169036,0.39881104745486906,0.8222860051523411,0.8131064852843234,0.8962434294767844,0.8957290594649187,0.8961935517679468,0.8956741394527017,2022-10-10/1/megamat0,1-5ol,-3.0,B-cit,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,IaA @ -3.0,0.963695410926101,0.9469893195913041,0.39893207212598447,0.9705895081220105,0.9639954758918552,0.9637456464190046,0.964270447612085,0.9625622870746379,0.9630902077298538,2022-10-10/1/megamat0,1-5ol,-3.0,IaA,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,Lin @ -3.0,0.9005178132125328,0.8789482009602938,0.3856706758819285,0.9038362710425053,0.900298257866536,0.9403332324623979,0.9402864759530251,0.9392695692596388,0.9392392408510877,2022-10-10/1/megamat0,1-5ol,-3.0,Lin,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,aa @ -3.0,0.9799620355637846,0.9572105514490306,0.4777941038526131,0.9286721132300547,0.9802802681535239,1.0206446611501492,1.0210668843257151,1.0201839478517953,1.0206057203269547,2022-10-10/1/megamat0,1-5ol,-3.0,aa,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,benz @ -3.0,0.6069693089285941,0.6030427932928748,0.3282188984079758,0.5955082194351293,0.6069377763235199,0.7304878232133171,0.7305554849150317,0.7303753311187039,0.7304376905824921,2022-10-10/1/megamat0,1-5ol,-3.0,benz,-3.0
2022-10-10,1,megamat0,none,correlation,1-5ol @ -3.0,eb @ -3.0,0.9323003848040556,0.9099874130833839,0.33148876102150726,0.9619761577884098,0.9320423889508364,0.9057179073770594,0.9054024998584109,0.9055836260933271,0.9052679224286592,2022-10-10/1/megamat0,1-5ol,-3.0,eb,-3.0
