acq,stim,peak_amp_thresh,max_sparsity,min_sparsity,kc_soma
0,1-5ol @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.08634222919937205
0,1-6ol @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.09733124018838304
0,1-8ol @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.07456828885400314
0,2-but @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.11747776033490319
0,2h @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.11015175300889586
0,6al @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.07116692830978545
0,B-cit @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.016221873364730507
0,IaA @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.11773940345368916
0,Lin @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.08765044479330193
0,aa @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.14154892726321297
0,benz @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.07247514390371533
0,eb @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.10282574568288853
0,ep @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.13396127681841968
0,ms @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.08241758241758242
0,pa @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.1140763997906855
0,t2h @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.09340659340659341
0,va @ -3.0,1.0,0.14154892726321297,0.016221873364730507,0.06671899529042387
1,1-5ol @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.08571428571428572
1,1-6ol @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.09043250327653997
1,1-8ol @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.08440366972477065
1,2-but @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.12346002621231979
1,2h @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.10799475753604194
1,6al @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.061598951507208385
1,B-cit @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.032503276539973786
1,IaA @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.11035386631716906
1,Lin @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.08650065530799476
1,aa @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.1292267365661861
1,benz @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.07653997378768021
1,eb @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.127129750982962
1,ep @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.13001310615989514
1,ms @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.09200524246395805
1,pa @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.11218872870249016
1,t2h @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.10170380078636959
1,va @ -3.0,0.9,0.13001310615989514,0.032503276539973786,0.07496723460026213
2,1-5ol @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.07223152355895719
2,1-6ol @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.18871083472853384
2,1-8ol @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.07318823248026787
2,2-but @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.11360918440564459
2,2h @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.06625209280076537
2,6al @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.09925855058598422
2,B-cit @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.060751016503228894
2,IaA @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.09280076536713705
2,Lin @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.06983975125568045
2,aa @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.13059076775890935
2,benz @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.12006696962449175
2,eb @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.13082994498923703
2,ep @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.12963405883759865
2,ms @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.040660129155704376
2,pa @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.1337000717531691
2,t2h @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.07797177708682133
2,va @ -3.0,1.7,0.18871083472853384,0.040660129155704376,0.07007892848600814
3,1-5ol @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.11266013564431047
3,1-6ol @ -3.0,1.1,0.16465712132629992,0.011303692539562924,0.11266013564431047
