panel,odor,fly_id,glomerulus,delta_f_over_f,roi_depth_um,zscore_scaled_delta_f_over_f,maxabs_scaled_delta_f_over_f,to-avg-max_scaled_delta_f_over_f,split-minmax_scaled_delta_f_over_f,split-minmax-to-avg_scaled_delta_f_over_f,delta_spike_rate,date,fly_num
glomeruli_diagnostics,ms @ -3,1,DC1,-0.04320743367788813,13.333333333333334,-0.7638708551719812,-0.02096204444077861,-0.04979041892559716,-0.10966444922997354,-0.04144727715442951,1,2023-04-22,2
megamat,ms @ -3,1,DC1,-0.023354689316720006,0.0,-0.6954191913755104,-0.011330504815614654,-0.026912956081253058,-0.059236951745821,-0.022388389072596104,1,2023-04-22,2
glomeruli_diagnostics,ms @ -3,2,DC1,0.0835051611805782,10.0,-0.26416277525891746,0.06903424305719892,0.16397464912071136,0.06894885339433084,0.1637718260087707,1,2023-04-22,3
megamat,ms @ -3,2,DC1,-0.15510752172838224,10.0,-1.5004415691430921,-0.12822836581132577,-0.304576400929216,-0.5843970757779415,-0.22087073557641332,1,2023-04-22,3
glomeruli_diagnostics,ms @ -3,3,DC1,-0.06694918386969162,6.666666666666667,-1.073378272858602,-0.03830625052772693,-0.09098751157754711,-0.22860255370984117,-0.08639949836389135,1,2023-04-26,2
megamat,ms @ -3,3,DC1,-0.052808621803032384,0.0,-0.9980419750050452,-0.030215458649178885,-0.07176973354970112,-0.17978448466832286,-0.06794888787056062,1,2023-04-26,2
glomeruli_diagnostics,ms @ -3,4,DC1,-0.023770268951210705,10.0,-0.8461624953089761,-0.010761271159759745,-0.025560875072569135,-0.08319041611183609,-0.03144151324691261,1,2023-04-26,3
megamat,ms @ -3,4,DC1,-0.0380948051217846,0.0,-0.9078872827134249,-0.01724627216188264,-0.0409644735880116,-0.13361622410197171,-0.0504997627906668,1,2023-04-26,3
glomeruli_diagnostics,ms @ -3,5,DC1,0.280662208685246,10.0,0.05410075873369327,0.10258444041098201,0.24366527214179648,0.10255267845259386,0.24358982906092183,1,2023-05-08,1
megamat,ms @ -3,5,DC1,-0.07897360829912002,10.0,-0.9667317052851883,-0.02886553003538447,-0.06856329481752668,-0.17515594028919879,-0.06619954646548203,1,2023-05-08,1
glomeruli_diagnostics,ms @ -3,6,DC1,-0.012137772892608104,13.333333333333334,-0.7431868661931521,-0.00616338579056597,-0.014639677030517441,-0.025679428023839157,-0.009705445820817372,1,2023-05-08,3
megamat,ms @ -3,6,DC1,0.09110309981868203,10.0,-0.33786040682465984,0.04626083844763097,0.1098817690547441,0.04611906251497644,0.10954501358700432,1,2023-05-08,3
glomeruli_diagnostics,ms @ -3,7,DC1,-0.1515090042932378,5.0,-1.3066717234239438,-0.0488556182686337,-0.11604505979064586,-0.5025694494538939,-0.1899442837412372,1,2023-05-09,1
megamat,ms @ -3,7,DC1,-0.04242406283132983,10.0,-0.9026064835177439,-0.013680070229228541,-0.03249379751909251,-0.14061881428933332,-0.05314636611865886,1,2023-05-09,1
glomeruli_diagnostics,ms @ -3,8,DC1,0.2353846892560194,16.666666666666668,0.026306752787732493,0.08741296678846953,0.20762899574148344,0.08695538340920708,0.2065421137719678,1,2023-05-10,1
megamat,ms @ -3,8,DC1,-0.0472263530926287,10.0,-0.7703342741279747,-0.01753808052458501,-0.041657595896095204,-0.12494071590286682,-0.04722088622393393,1,2023-05-10,1
