fly,trial,odor,D,DA1,DA2,DA3,DA4l,DA4m,DC1,DC2,DC3,DC4,DL1,DL2d,DL2v,DL3,DL4,DL5,DM1,DM2,DM3,DM4,DM5,DM6,DP1l,DP1m,V,VA1d/VA1v,VA2,VA3,VA4,VA5,VA6,VA7l,VA7m,VC1,VC2,VC3,VC4,VC5,VL1,VL2a,VL2p,VM1,VM2,VM3,VM4,VM5d,VM5v,VM7d,VM7v,VP1,VP2,VP3,VP4
0,0,"1,4 diaminobutane",,,0.04663357677480306,,,,0.06523062654370983,,0.023460124809640368,0.024868751717909362,0.012235358333173114,0.015832955854405577,0.009338245088890659,,,-0.020602773702152473,,0.01504375558727513,,,-0.0029142659463427174,,,0.057609919688428025,0.08698579446133439,,,-0.0010478127794317663,,-0.012113332334431832,-0.02772587192096953,-0.020012614153885604,-0.027740971094313387,-0.023312094410030192,0.035942434285076506,0.06206482767648452,0.007636839357726327,,,0.017033217722990473,0.00473646389581943,,0.019416318725106695,0.04032805713394234,,,0.021673023301282103,0.01225783070385943,0.003717900948922992,,,,
0,0,1-hexanol,,,,,,,0.01166972873182811,,0.01920822855803347,0.025071088925778983,,0.0035476715554496894,-0.02802964565230794,,,,0.16474690056366253,,,0.13715621358590882,0.31566843063183375,,,-0.0044777342689410965,0.03459452481396925,,0.1113608227754276,0.03408292761361476,,-0.028919342163757328,-0.051167919521867014,-0.025332314442791815,-0.01433468679402983,-0.011678566387536976,0.029725463263200008,0.148716024861418,0.10720273837431865,,,-0.016842276054456123,0.006194329193087454,,0.2512570358710348,0.058306667820433755,,0.32461917312573724,0.18251332613091123,0.19581044212474913,0.10952375130288818,,,,
0,0,"2,5-dimethylpyrazine",,,-0.01754653906140289,,,,0.04183519650082295,,0.008350186857020105,0.01746424147956125,,0.011978540095492226,0.013130206579458587,,,,0.00256493703630616,,,0.06802888894947898,0.11348489446882214,,,0.013072194035912015,0.058405697756414895,,0.09475367217436909,0.032126889134207685,,0.017157270593295675,-0.0023007892288141136,0.03708362495256172,0.02736830945103258,0.08563047765532779,0.04203036091164183,0.06147577792577584,0.061206571640289295,,,0.017693443885957262,0.009315890288378068,,0.23227843941346057,0.05649321081290127,,,,0.07740524850790076,0.05703474806653918,,,,
0,0,2-heptanone,,,-0.05869626386215526,,,,0.17251463439278972,0.4442023849614102,-0.004426327477363532,0.09085109912262106,-0.08300424737965473,-0.006908210504156771,-0.019286932012864907,,,0.1120421799533814,0.04080950895132072,0.3727395370077872,,0.15296064728824574,0.1038700101176753,0.5026336508108575,,0.08094905041662706,0.0828438951826898,,,0.10518006694042291,,0.00030461875591618337,-0.12260907752540284,0.034575261577838384,0.061102452452719905,0.028059909095018185,0.08126485275150463,0.13652675800248182,0.14055759287108374,,,0.014633449527094083,0.009629055143714444,,0.2994517934337903,0.21734522238335346,,,0.2420501925845603,0.3229847236580614,,,,,
0,0,3-methylthio-1-propanol,,,0.0383240872214221,,,,0.05655818598164809,0.13871167767435122,0.033538684995644774,0.0990118478836282,-0.0744579779222086,-0.06118899147016666,-0.050180467623038426,,,0.013809987805063234,0.16538232525772673,0.29549766966831065,,0.17433189402610894,0.23767306469605476,0.10046657424101517,,0.06546641228099971,0.06023111023253999,,0.2426669172635877,0.0815632743993627,,-0.009324233881666904,-0.0856647514922047,0.01289758590420568,0.03512787509171644,0.14999457456970722,0.11825680702572941,0.14158904190535104,0.050326826667824655,,,-0.051532703563437476,0.006450524249062125,,0.289558634818485,0.1800830308607897,,0.07092826209802232,-0.04698825328082609,0.3105899142920876,0.20357083991665825,,,,
0,0,3-octanol,,,-0.08008671398363781,,,,0.31869139248316997,,0.22786766515234352,0.08304864514005818,,0.0030512267308669427,0.06310034351251638,,,,-0.06755004303762385,,,0.025685852219406485,0.13677571699185873,,,0.045938035145485216,0.053315241162670564,,,-0.014077664511453309,,0.010711163249393226,-0.09090563347634739,0.00184214500520897,0.0286796407216418,0.4784304466983813,0.12118778159325018,0.1413827614784804,0.08657126194875864,,,-0.03861535394743834,0.013172995048750746,,0.296340504958094,0.2016151337328265,,0.33749348652928607,0.24566997044871106,0.16906807751156375,0.09077164019320731,,,,
0,0,4-methylcyclohexanol,,,-0.19996029513443264,,,,0.06943327778874106,,0.025477195606638543,0.013458494526836217,,-0.018218957856874357,-0.02141649216284711,,,,0.026777693750322955,,,0.03620308103281663,0.047454005611958214,,,0.004398586192993729,0.05051889497001572,,0.05284970191726054,0.08923095165825974,,0.012763794090411548,0.03245695384650564,0.033395033789499505,0.044400137907768956,0.30463472960051324,0.23834333501741894,0.06449735124534733,0.049870821171521106,,,-0.012703961641236841,-0.00010386833108854071,,0.10732163226108624,0.049157907711749604,,0.20670725303556328,,0.06055401864155575,0.032223553791316265,,,,
0,0,ACV 10%,,,,,,,0.0017251853307774935,-0.05772789881093841,0.005222097301862778,0.25971633728476884,-0.11666207142802247,0.08947245939200926,0.07740077493048701,,,-0.07031515837145867,0.2589458373540646,0.02565406323038004,,0.36053971114219485,0.11893742695629736,-0.027244322508901783,,0.3007418187949811,0.08738736955377101,,0.3957905857164982,0.07428008606492509,,0.0042969511647685645,-0.060665025189327045,0.024348097104614518,0.0010679394269552558,0.2146014291137243,0.09612224694277537,0.056476789912475865,0.1782389995798561,,,0.12772634191839882,0.04620556781050554,,0.317732160792061,0.27432986615755495,,,-0.06573798647359903,0.03770033529705344,0.026026282144554533,,,,
0,0,CO2,,,-0.24645018034872956,,,,-0.0838363833326434,-0.23746958921250197,-0.06500344928814959,0.2748702468782225,-0.15538126178670247,-0.09758055368855008,-0.0788594418962048,,,-0.02505020153528397,-0.08459803103976103,-0.14252656730452415,,,-0.08637595927333815,-0.17849338075165355,,0.20128787168048257,0.1423821582647087,,,-0.018828096288847095,,-0.022783217263689304,-0.17576314476553379,-0.03900897999361707,-0.04884766713070208,-0.0841775665318341,-0.01557804101724917,-0.004343413244262947,-0.08608784167872617,,,-0.0751620378309381,0.008896575558199494,,-0.11360272965311768,-0.04842256455802082,,-0.15154893336863362,-0.12505021462074262,0.06345387178933029,0.07784940115848271,,,,
0,0,acetic acid,,,,,,,0.0383199088157927,,-0.0014695046722533898,,-0.03344859614985768,0.05310575246421714,0.050646445762609675,,,0.1781061589931839,,,,,0.05334923807928787,,,0.24074105895464168,0.05361458472232389,,,0.0372029195439852,,0.0024210967270536085,-0.0244518087739414,0.034333871896556026,0.05048240943224955,0.011774506396441477,0.08120359384284584,0.045600123480278205,0.030663740820313343,,,0.011462889621793329,0.046284727796929895,,,0.06683385034028273,,,-0.03282978719288019,,,,,,
