,2h(-7),ma(-7),farn(-3),farn(-2.5),2h(-7)+ma(-7),2h(-7)+farn(-3),2h(-7)+farn(-2.5),ma(-7)+farn(-3),ma(-7)+farn(-2.5),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,2h(-7)+farn(-2.5)_predicted,ma(-7)+farn(-3)_predicted,ma(-7)+farn(-2.5)_predicted
69,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
70,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
71,False,False,True,False,False,False,False,False,True,False,20250324_3FLfun1,False,True,False,True,False
72,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
73,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
74,False,False,False,False,False,True,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
75,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
76,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
77,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
78,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
79,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
80,False,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
81,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
82,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
83,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
84,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
85,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
86,False,False,False,False,False,False,False,False,True,False,20250324_3FLfun1,False,False,False,False,False
87,False,False,True,False,False,False,False,False,True,False,20250324_3FLfun1,False,True,False,True,False
88,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
89,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
90,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
91,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
92,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
93,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
94,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
95,True,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,True,True,True,False,False
96,True,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,True,True,True,False,False
97,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
98,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
99,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
100,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
101,False,False,False,False,False,False,False,False,True,False,20250324_3FLfun1,False,False,False,False,False
102,False,False,True,False,False,False,True,False,True,False,20250324_3FLfun1,False,True,False,True,False
103,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
104,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
105,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
106,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
107,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
108,False,False,True,False,False,False,True,False,True,False,20250324_3FLfun1,False,True,False,True,False
109,True,False,False,False,True,True,False,False,False,True,20250324_3FLfun1,True,True,True,False,False
110,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
