,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
0,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
1,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
2,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
3,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
4,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
5,False,False,False,False,True,True,False,True,True,False,20250214_4FLfun1,False,True,True
6,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
7,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
8,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
9,False,False,False,False,True,True,False,True,True,False,20250214_4FLfun1,False,True,True
10,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
11,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
12,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
13,False,False,False,False,False,True,False,True,True,False,20250214_4FLfun1,False,True,True
14,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
15,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
16,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
17,False,False,False,False,True,True,False,True,False,False,20250214_4FLfun1,False,True,True
18,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
19,False,False,False,False,False,False,False,True,True,False,20250214_4FLfun1,False,False,False
20,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
21,False,False,False,False,False,False,False,False,True,False,20250214_4FLfun1,False,False,False
22,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
23,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
24,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
25,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
26,False,False,False,False,False,False,False,False,True,False,20250214_4FLfun1,False,False,False
27,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
28,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
29,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
30,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
31,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
32,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
33,False,False,False,True,False,False,True,False,True,False,20250214_4FLfun1,True,False,True
34,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
35,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
36,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
37,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
38,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
39,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
40,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
41,False,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
42,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
43,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
44,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
45,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
46,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
47,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
48,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
49,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
50,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
51,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
52,False,False,False,False,True,True,False,True,False,False,20250214_4FLfun1,False,True,True
53,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
54,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
55,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
56,True,True,False,False,False,True,True,True,True,False,20250214_4FLfun1,True,True,True
57,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
58,False,False,True,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
59,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
60,False,True,False,False,False,False,True,False,False,False,20250214_4FLfun1,True,True,False
61,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
62,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
63,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
64,False,False,False,False,False,False,False,True,True,False,20250214_4FLfun1,False,False,False
65,False,True,False,False,False,False,True,False,False,False,20250214_4FLfun1,True,True,False
66,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
67,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
68,False,False,False,False,True,True,False,True,False,False,20250214_4FLfun1,False,True,True
69,False,False,False,True,False,False,True,True,True,False,20250214_4FLfun1,True,False,True
70,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
71,False,False,False,False,False,False,False,False,True,False,20250214_4FLfun1,False,False,False
72,False,False,False,False,True,False,False,False,False,False,20250214_4FLfun1,False,False,False
73,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
74,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
75,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
76,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
77,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
78,False,False,False,False,True,False,False,True,False,False,20250214_4FLfun1,False,False,False
79,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
80,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
81,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
82,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
83,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
84,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
85,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
86,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
87,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
88,False,False,False,True,False,False,True,False,True,False,20250214_4FLfun1,True,False,True
89,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
90,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
91,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
92,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
93,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
94,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
95,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
96,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
97,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
98,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
99,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
100,False,True,False,False,False,False,False,False,False,False,20250214_4FLfun1,True,True,False
101,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
102,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
103,False,False,False,True,False,False,True,False,True,False,20250214_4FLfun1,True,False,True
104,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
105,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
106,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
107,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
108,False,False,False,False,False,False,False,False,True,False,20250214_4FLfun1,False,False,False
109,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
110,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
111,False,False,False,False,False,True,False,True,True,False,20250214_4FLfun1,False,True,True
112,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
113,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
114,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
115,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
116,False,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
117,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
118,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
119,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
120,True,True,True,True,False,False,True,False,False,False,20250214_4FLfun1,True,True,True
121,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
122,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
123,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
124,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
125,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
126,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
127,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
128,True,True,False,False,False,False,True,False,False,False,20250214_4FLfun1,True,True,False
129,False,False,False,False,False,True,False,True,False,False,20250214_4FLfun1,False,True,True
130,False,False,False,False,False,False,False,True,False,False,20250214_4FLfun1,False,False,False
131,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
132,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
133,False,False,False,False,True,True,True,True,True,False,20250214_4FLfun1,False,True,True
134,False,False,False,False,False,False,True,False,False,False,20250214_4FLfun1,False,False,False
135,True,True,False,False,False,False,True,True,True,False,20250214_4FLfun1,True,True,False
136,True,True,True,False,False,False,False,False,False,False,20250214_4FLfun1,True,True,False
137,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
138,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
139,False,False,False,True,False,False,True,False,False,False,20250214_4FLfun1,True,False,True
140,False,False,False,False,True,False,False,True,True,False,20250214_4FLfun1,False,False,False
141,True,True,False,False,False,False,True,True,False,False,20250214_4FLfun1,True,True,False
142,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
143,False,False,False,False,False,False,False,False,False,False,20250214_4FLfun1,False,False,False
