,2h(-7),ma(-7),farn(-3),farn(-2.5),2h(-7)+ma(-7),2h(-7)+farn(-3),2h(-7)+farn(-2.5),ma(-7)+farn(-3),ma(-7)+farn(-2.5),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,2h(-7)+farn(-2.5)_predicted,ma(-7)+farn(-3)_predicted,ma(-7)+farn(-2.5)_predicted
0,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
1,True,False,False,False,True,False,True,False,False,False,20250324_2FLfun1,True,True,True,False,False
2,False,False,False,True,False,False,False,False,False,False,20250324_2FLfun1,False,False,True,False,True
3,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
4,False,False,True,True,False,False,True,False,True,False,20250324_2FLfun1,False,True,True,True,True
5,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
6,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
7,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
8,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
9,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
10,True,True,False,False,True,False,False,False,False,False,20250324_2FLfun1,True,True,True,True,True
11,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
12,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
13,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
14,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
15,False,False,True,False,False,False,False,False,False,False,20250324_2FLfun1,False,True,False,True,False
16,False,False,False,False,True,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
17,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
18,False,False,True,False,False,False,False,False,False,False,20250324_2FLfun1,False,True,False,True,False
19,True,False,False,False,True,True,False,False,False,False,20250324_2FLfun1,True,True,True,False,False
20,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
21,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
22,True,False,False,False,True,True,True,False,True,False,20250324_2FLfun1,True,True,True,False,False
23,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
24,False,True,False,False,True,False,False,False,False,False,20250324_2FLfun1,True,False,False,True,True
25,True,False,False,False,False,True,False,False,True,False,20250324_2FLfun1,True,True,True,False,False
26,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
27,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
28,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
29,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
30,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
31,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
32,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
33,False,True,True,False,False,False,False,False,False,False,20250324_2FLfun1,True,True,False,True,True
34,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
35,False,True,False,False,False,False,False,False,False,False,20250324_2FLfun1,True,False,False,True,True
36,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
37,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
38,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
39,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
40,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
41,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
42,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
43,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
44,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
45,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
46,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
47,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
48,False,False,False,False,True,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
49,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
50,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
51,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
52,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
53,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
54,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
55,False,False,False,False,True,False,True,False,False,False,20250324_2FLfun1,False,False,False,False,False
56,False,False,False,False,False,False,False,False,True,False,20250324_2FLfun1,False,False,False,False,False
57,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
58,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
59,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
60,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
61,False,True,False,False,False,False,False,False,True,False,20250324_2FLfun1,True,False,False,True,True
62,False,False,False,False,False,False,True,False,False,False,20250324_2FLfun1,False,False,False,False,False
63,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
64,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
65,True,True,False,False,True,False,False,True,True,False,20250324_2FLfun1,True,True,True,True,True
66,False,False,False,False,True,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
67,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
68,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
69,False,False,True,True,False,True,True,True,True,False,20250324_2FLfun1,False,True,True,True,True
70,False,True,False,False,False,False,False,False,False,False,20250324_2FLfun1,True,False,False,True,True
71,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
72,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
73,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
74,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
75,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
76,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
77,False,False,False,False,False,False,True,False,True,False,20250324_2FLfun1,False,False,False,False,False
78,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
79,False,False,False,False,False,False,False,False,False,False,20250324_2FLfun1,False,False,False,False,False
