,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
40,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
41,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
42,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
43,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
44,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
45,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
46,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
47,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
48,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
49,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
50,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
51,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
52,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
53,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
54,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
55,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
56,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
57,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
58,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
59,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
60,False,True,False,False,False,False,False,True,False,False,20250219_3FRfun1,True,True,False
61,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
62,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
63,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
64,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
65,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
66,False,False,False,False,False,False,False,True,False,False,20250219_3FRfun1,False,False,False
67,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
68,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
69,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
70,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
71,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
72,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
73,False,False,False,False,False,True,False,False,False,False,20250219_3FRfun1,False,True,True
74,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
75,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
76,True,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
77,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
78,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
79,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
80,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
