bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
425790257,973488234,CA(R),CA(R),17875,13757,13202,17879,13752,13188,0.987,0.810816
425790257,973488234,CA(R),CA(R),15092,13261,9751,15073,13264,9720,0.983,0.48397517
425790257,973488234,CA(R),CA(R),15407,11970,10573,15406,11995,10555,0.902,0.694087
425790257,973488234,CA(R),CA(R),15716,12251,10623,15695,12212,10590,0.998,0.281079
425790257,973488234,CA(R),CA(R),17172,14365,10706,17158,14367,10708,0.949,0.718586
425790257,973488234,CA(R),CA(R),16930,14049,10684,16909,14035,10654,0.993,0.526975
425790257,973488234,CA(R),CA(R),16681,14872,11026,16688,14858,11033,0.772,0.977897
425790257,973488234,CA(R),CA(R),17180,14597,10976,17199,14614,10986,0.953,0.933567
425790257,973488234,CA(R),CA(R),16804,14890,11113,16804,14876,11129,0.932,0.897297
425790257,973488234,CA(R),CA(R),16702,14879,11119,16706,14868,11128,0.939,0.978065
425790257,973488234,CA(R),CA(R),17165,14502,11010,17181,14506,11038,0.986,0.362846
425790257,973488234,CA(R),CA(R),17313,14478,11178,17275,14492,11160,0.978,0.4660309
425790257,973488234,CA(R),CA(R),16920,14795,11157,16913,14790,11165,0.98,0.737403
425790257,973488234,CA(R),CA(R),15060,13902,10892,15083,13911,10898,0.992,0.966734
425790257,973488234,CA(R),CA(R),17894,13980,12021,17909,14003,12016,0.969,0.743527
425790257,973488234,CA(R),CA(R),15497,13344,10412,15492,13373,10389,0.909,0.544608
425790257,973151229,CA(R),CA(R),17145,14936,12048,17139,14956,12050,0.968,0.940674
425790257,973151229,CA(R),CA(R),16263,13974,12374,16263,13960,12389,0.945,0.994387
425790257,973151229,CA(R),CA(R),15369,13127,9720,15400,13137,9730,0.974,0.617346
425790257,973151229,CA(R),CA(R),16599,12696,13114,16600,12673,13098,0.817,0.445852
425790257,973151229,CA(R),CA(R),16820,12599,13071,16793,12624,13041,0.883,0.47704867
425790257,973151229,CA(R),CA(R),17492,14836,13209,17511,14816,13209,0.981,0.384224
425790257,973151229,CA(R),CA(R),16256,14261,13233,16275,14254,13230,0.993,0.824565
425790257,973151229,CA(R),CA(R),14500,13529,9888,14501,13525,9912,0.981,0.4579662
425790257,973151229,CA(R),CA(R),15286,13331,9804,15306,13317,9815,0.95,0.815617
425790257,973151229,CA(R),CA(R),16438,13836,9980,16457,13804,9981,0.973,0.562371
425790257,973151229,CA(R),CA(R),17309,12991,13637,17327,12968,13630,0.9,0.409548
425790257,973151229,CA(R),CA(R),16203,14519,11295,16226,14476,11297,0.984,0.535895
425790257,973151229,CA(R),CA(R),16010,13945,11398,16002,13961,11363,0.969,0.468635
425790257,973151229,CA(R),CA(R),17172,14365,10706,17170,14358,10714,0.949,0.86085
425790257,973151229,CA(R),CA(R),16649,14889,10847,16667,14877,10837,0.976,0.947118
425790257,973151229,CA(R),CA(R),17180,14597,10976,17179,14578,10955,0.953,0.683654
425790257,973151229,CA(R),CA(R),15957,14234,11246,15962,14240,11225,0.99,0.647963
425790257,973151229,CA(R),CA(R),17165,14502,11010,17188,14479,11008,0.986,0.77977
425790257,973151229,CA(R),CA(R),17313,14478,11178,17284,14469,11195,0.978,0.74879
425790257,973151229,CA(R),CA(R),16765,13959,10935,16725,13954,10904,0.961,0.597441
425790257,973151229,CA(R),CA(R),17169,14209,11542,17197,14239,11539,0.989,0.316198
425790257,973151229,CA(R),CA(R),17035,12946,11588,17033,12961,11576,0.998,0.704566
425790257,973151229,CA(R),CA(R),17186,13101,11606,17179,13095,11577,0.983,0.814923
425790257,973146958,CA(R),CA(R),17263,14859,12152,17253,14874,12160,0.999,0.931578
425790257,973146958,CA(R),CA(R),16644,14546,10138,16646,14567,10124,0.967,0.995705
425790257,973146958,CA(R),CA(R),16556,14927,12460,16551,14929,12470,0.998,0.998794
425790257,973146958,CA(R),CA(R),16421,14769,12490,16413,14755,12500,0.995,0.814846
425790257,973146958,CA(R),CA(R),17713,15528,11939,17724,15539,11924,0.912,0.797427
425790257,973146958,CA(R),CA(R),16361,14603,11968,16397,14611,11981,0.994,0.806762
425790257,973146958,CA(R),CA(R),16321,14833,13132,16312,14826,13145,0.987,0.81577
425790257,973146958,CA(R),CA(R),15054,14828,14012,15071,14828,14003,0.919,0.893865
425790257,973146958,CA(R),CA(R),16233,14802,13682,16249,14820,13704,0.99,0.661718
425790257,973146958,CA(R),CA(R),15449,13274,11075,15463,13271,11085,0.992,0.935618
425790257,973146958,CA(R),CA(R),16842,15093,10864,16847,15093,10882,0.967,0.9944
425790257,973146958,CA(R),CA(R),15800,13739,11107,15778,13747,11105,0.992,0.905379
425790257,973146958,CA(R),CA(R),15549,12932,10928,15566,12926,10932,0.984,0.981389
425790257,973146958,CA(R),CA(R),15437,13047,10931,15447,13068,10941,0.98,0.651021
425790257,973146958,CA(R),CA(R),15360,12811,10888,15387,12809,10906,0.986,0.723586
425790257,973146958,CA(R),CA(R),16767,15473,11251,16761,15494,11268,0.983,0.720057
425790257,973146958,CA(R),CA(R),17295,15840,11676,17308,15835,11685,0.996,0.974026
425790257,973146958,CA(R),CA(R),17426,15881,11759,17406,15864,11764,0.993,0.929289
425790257,973146958,CA(R),CA(R),17467,15923,11694,17477,15940,11685,0.985,0.886011
425790257,972128731,CA(R),CA(R),14696,12016,12332,14691,11998,12320,0.984,0.930473
425790257,972128731,CA(R),CA(R),15087,13572,14704,15109,13576,14719,0.962,0.752431
425790257,972128731,CA(R),CA(R),14841,11159,12317,14848,11192,12318,0.766,0.638827
425790257,972128731,CA(R),CA(R),15188,11452,12335,15217,11420,12343,0.885,0.589212
425790257,972128731,CA(R),CA(R),15116,13741,14252,15125,13756,14237,0.961,0.783513
425790257,972128731,CA(R),CA(R),14746,11605,12131,14758,11629,12122,0.968,0.754959
