,odor,percent_cells_responding
0,1o3ol(-5),2.591093117408907
1,2h(-7),3.2388663967611335
2,2h(-7)+1o3ol(-5),4.574898785425101
3,2h(-7)+ma(-7),3.5222672064777325
4,Bmix28,5.991902834008097
5,Iaa(-2),7.813765182186234
6,PFO,0.08097165991902834
7,banana,11.25506072874494
8,ea(-5),6.396761133603239
9,ea(-5)+eb(-5),2.91497975708502
10,ea(-7),4.331983805668016
11,ea(-7)+eb(-7),1.2550607287449393
12,eb(-5),2.0242914979757085
13,eb(-7),1.9028340080971662
14,ma(-7),1.174089068825911
15,2h(-7)+ma(-7)_predicted,4.251012145748987
16,ea(-7)+eb(-7)_predicted,5.82995951417004
17,ea(-5)+eb(-5)_predicted,8.380566801619434
18,2h(-7)+1o3ol(-5)_predicted,5.748987854251012
