,odor,percent_cells_responding
0,1o3ol(-5),9.258043335521995
1,2h(-7),5.778069599474721
2,2h(-7)+1o3ol(-5),10.111621799080762
3,2h(-7)+ma(-7),6.23768877216021
4,PFO,0.4596191726854892
5,ea(-5),10.571240971766251
6,ea(-5)+eb(-5),11.621799080761654
7,ea(-7),5.646749835850295
8,ea(-7)+eb(-7),4.9244911359159556
9,eb(-5),7.485226526592252
10,eb(-7),2.4294156270518714
11,ma(-7),0.1969796454366382
12,2h(-7)+ma(-7)_predicted,5.909389363099146
13,ea(-7)+eb(-7)_predicted,6.369008535784635
14,ea(-5)+eb(-5)_predicted,15.955351280367697
15,2h(-7)+1o3ol(-5)_predicted,14.116874589625738
