,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
14,0.45479646,0.17261234,0.42041096,-0.073316574,0.04158088,0.108469844,-0.00087291,-0.28988016,-0.18003693,0.3794039,0.45842195,-0.12522054,0.19966629,-0.02672359,-0.07798338,-0.04943323,0.048660576,0.056072623,-0.33696523,0.47452185,0.5477557,0.2834757,-0.19791481,0.16271159,0.15056562,0.3653318,0.19157779,-0.55084443,-0.13632566,-0.11749929
15,0.005155027,-0.12290174,-0.32552668,0.38508132,-0.062609375,0.445101,0.88080657,0.28509682,0.5804548,0.40784168,0.34281582,-0.33463728,-0.23770414,-0.3098206,-0.17107409,-0.23037964,-0.0748418,0.18996102,0.63678646,1.7566898,0.51078707,0.15324444,0.10916421,-0.14939654,0.52681524,-0.07025871,0.28115362,0.07713161,-0.060197413,0.024242759
16,-0.08688504,-0.08115718,0.026953936,-0.5506573,0.003391996,-0.26251796,-0.093675464,-0.33962512,0.75196147,-0.09039682,0.2787164,-0.55733943,0.10576671,-0.38421595,0.087295175,0.27573785,0.23485541,0.5845525,-0.10218604,0.18267706,0.08304493,0.5094547,0.3474165,0.9510194,1.1980364,0.6374866,1.5815741,0.86806047,-0.40931523,0.11087744
17,0.949597,1.0741946,0.22378078,-0.063114464,0.8027554,0.16755861,-0.0145843625,0.81881124,0.018118411,2.9978187,3.313055,2.5146835,-0.22395167,-0.19741422,-0.38893515,0.99182844,1.2381563,2.0089834,0.14751035,0.09435426,0.19847977,-0.12999696,-0.5714576,-0.38387048,0.095915794,0.11678755,-0.38758802,-0.14940172,-0.16472942,-0.18638837
18,0.21142644,-0.3735704,0.677179,0.035715997,-0.3456339,-0.10779488,0.5090931,0.23250008,0.082912475,-0.14556289,0.12500179,0.3248547,0.093917444,0.024967909,-0.082041025,-0.18973252,-0.18085861,0.037718058,0.32839185,-0.19379473,-0.003654182,0.62107885,0.23360977,0.19032198,-0.12346372,-0.14507806,0.001866281,-0.36651543,-0.9095938,0.07812086
19,-0.90107346,-0.9847011,-0.20966232,0.22111776,-0.3155683,-0.43365243,-0.2374348,0.048147917,-0.401807,-0.13932443,-0.6356623,-0.32487178,-0.4868238,0.3936576,0.3580807,-0.058296382,-0.24076772,-0.035544515,0.19810963,0.70928127,0.7518387,0.021562278,0.21624926,0.021479726,0.4418592,0.6274435,0.7268996,0.14994645,-0.49289173,0.017687142
20,-0.5120229,-0.18558484,0.12711382,0.12570448,0.07841489,-0.26909012,-0.028660804,0.05106774,-0.08502225,-0.2294868,-0.48236212,0.05386611,0.22918403,0.27550763,0.42473522,0.050936937,-0.2265617,-0.06301534,-0.13940597,-0.48538586,-0.5044705,-0.022376806,0.5445508,-0.027925164,0.3434097,0.14638218,0.13440633,0.21361446,0.0668634,-0.33134598
21,-0.59230304,0.09507612,-0.015351087,-0.007939339,0.044738352,-0.21154761,-0.2755975,-1.015533,-0.2690984,-0.2911244,-0.16546509,0.08147374,-0.38281363,-0.15571642,-0.22776648,0.2664182,-0.27871877,-0.060753047,0.28515688,0.39095804,0.47616643,-0.18354338,0.0038765073,0.17214727,-0.022987485,0.44117078,0.18512124,0.075935245,0.080251485,-0.34965542
22,0.20382476,-0.3109128,-0.0778662,0.15167959,-0.2558813,-0.11417687,0.07838881,-0.36379486,0.030492932,-0.088562936,0.47035965,-0.0129314065,-0.5554329,-0.049295366,0.2686261,0.3638394,0.065657675,0.45208848,0.39801097,0.30332702,0.47060516,1.0609224,0.22149247,0.27179927,1.9953634,2.3981216,1.2243438,-0.07465297,-0.4389263,-0.31896272
23,1.3546888,0.3717975,-0.177436,-0.0002271533,-0.10592815,-0.20011494,-0.23245811,-0.1953786,-0.09396225,-0.22007269,0.04727727,-0.2262842,-0.2956994,-0.10861552,-0.20404044,0.29369953,-0.31526634,-0.35177168,-0.17450505,0.630098,0.05540976,-0.66752106,-0.11510212,-0.04048246,-0.48988175,-0.086999625,-0.18180037,0.1067279,-0.051831245,0.119610354
