,odor,percent_cells_responding
0,1o3ol(-5),5.667627281460135
1,2h(-7),5.187319884726225
2,2h(-7)+1o3ol(-5),6.580211335254563
3,2h(-7)+ma(-7),7.973102785782901
4,PFO,2.3054755043227666
5,ea(-5),8.597502401536984
6,ea(-5)+eb(-5),9.798270893371757
7,ea(-7),2.881844380403458
8,ea(-7)+eb(-7),2.785782901056676
9,eb(-5),2.5936599423631126
10,eb(-7),0.0
11,ma(-7),4.370797310278578
12,2h(-7)+ma(-7)_predicted,9.125840537944283
13,ea(-5)+eb(-5)_predicted,10.758885686839577
14,ea(-7)+eb(-7)_predicted,2.881844380403458
15,2h(-7)+1o3ol(-5)_predicted,10.230547550432277
