,odor,percent_cells_responding
0,1o3ol(-5),5.525136884021902
1,2h(-7),6.470881035340965
2,2h(-7)+1o3ol(-5),3.982080637132902
3,2h(-7)+ma(-7),7.267297162767545
4,PFO,1.8914883026381284
5,ea(-5),8.6112493777999
6,ea(-5)+eb(-5),8.312593330014932
7,ea(-7),0.9457441513190642
8,ea(-7)+eb(-7),1.991040318566451
9,eb(-5),4.3305126928820314
10,eb(-7),0.14932802389248384
11,ma(-7),4.3305126928820314
12,2h(-7)+ma(-7)_predicted,10.303633648581384
13,ea(-7)+eb(-7)_predicted,1.0452961672473868
14,ea(-5)+eb(-5)_predicted,12.692882030861124
15,2h(-7)+1o3ol(-5)_predicted,11.100049776007964
