bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post,instance_pre,type_pre,instance_post,type_post,connector_id,node_id,type,x,y,z,roi,confidence,anatomical_claw,color,dist_to_root
425790257,1734420152,CA(R),CA(R),15200,14628,13198,15201,14617,13218,0.995,0.943976,APL_R,APL,DL2v_adPN_R,DL2v_adPN,2898.0,29793.0,pre,15200.0,14628.0,13198.0,CA(R),0.995,180.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",13910.522714614868
425790257,1734420152,CA(R),CA(R),15019,14632,13237,15016,14617,13232,0.977,0.981797,APL_R,APL,DL2v_adPN_R,DL2v_adPN,2897.0,29754.0,pre,15019.0,14632.0,13237.0,CA(R),0.977,180.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",13677.276735305786
425790257,1734420152,CA(R),CA(R),15125,14637,13130,15120,14623,13137,0.856,0.986828,APL_R,APL,DL2v_adPN_R,DL2v_adPN,17981.0,29757.0,pre,15125.0,14637.0,13130.0,CA(R),0.856,180.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",13877.235612869263
425790257,1734420152,CA(R),CA(R),15219,14595,13076,15228,14581,13073,0.987,0.962328,APL_R,APL,DL2v_adPN_R,DL2v_adPN,6843.0,29784.0,pre,15219.0,14595.0,13076.0,CA(R),0.987,180.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",14040.520780563354
425790257,1734420152,CA(R),CA(R),15080,14053,13245,15069,14062,13241,0.889,0.934322,APL_R,APL,DL2v_adPN_R,DL2v_adPN,17985.0,23759.0,pre,15080.0,14053.0,13245.0,CA(R),0.889,168.0,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",11741.401378631592
425790257,1734420152,CA(R),CA(R),14796,14493,13155,14814,14483,13149,0.993,0.926915,APL_R,APL,DL2v_adPN_R,DL2v_adPN,17986.0,23022.0,pre,14796.0,14493.0,13155.0,CA(R),0.993,131.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",10297.857429504395
425790257,1734420152,CA(R),CA(R),15365,14489,13130,15354,14477,13137,0.989,0.994783,APL_R,APL,DL2v_adPN_R,DL2v_adPN,31162.0,29759.0,pre,15365.0,14489.0,13130.0,CA(R),0.989,180.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",14112.578786849976
425790257,1734350908,CA(R),CA(R),15716,12251,10623,15707,12256,10634,0.998,0.938798,APL_R,APL,DA1_lPN_R,DA1_lPN,864.0,7049.0,pre,15716.0,12251.0,10623.0,CA(R),0.998,279.0,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)",11115.89126586914
425790257,1734350908,CA(R),CA(R),14978,15215,11470,14986,15209,11444,0.958,0.379665,APL_R,APL,DA1_lPN_R,DA1_lPN,16423.0,2086.0,pre,14978.0,15215.0,11470.0,CA(R),0.958,311.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",8272.482944488525
425790257,1734350908,CA(R),CA(R),15444,12299,10898,15454,12300,10883,0.97,0.896125,APL_R,APL,DA1_lPN_R,DA1_lPN,1801.0,6856.0,pre,15444.0,12299.0,10898.0,CA(R),0.97,270.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",11383.45982170105
425790257,1734350908,CA(R),CA(R),15488,12691,10857,15486,12681,10846,0.883,0.740275,APL_R,APL,DA1_lPN_R,DA1_lPN,59368.0,7162.0,pre,15488.0,12691.0,10857.0,CA(R),0.883,278.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",10769.252407073975
425790257,1734350908,CA(R),CA(R),15567,12792,10899,15583,12778,10893,0.984,0.967197,APL_R,APL,DA1_lPN_R,DA1_lPN,25618.0,7172.0,pre,15567.0,12792.0,10899.0,CA(R),0.984,278.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",10635.564762115479
425790257,1734350908,CA(R),CA(R),16825,14860,11527,16825,14860,11541,0.95,0.995903,APL_R,APL,DA1_lPN_R,DA1_lPN,16512.0,5576.0,pre,16825.0,14860.0,11527.0,CA(R),0.95,250.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",11901.982368469238
425790257,1734350788,CA(R),CA(R),15087,12862,11299,15116,12887,11277,0.962,0.314764,APL_R,APL,DA1_lPN_R,DA1_lPN,21809.0,21990.0,pre,15087.0,12862.0,11299.0,CA(R),0.962,351.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",10161.556447029114
425790257,1734350788,CA(R),CA(R),15094,13845,11295,15104,13853,11290,0.99,0.96894,APL_R,APL,DA1_lPN_R,DA1_lPN,37357.0,7423.0,pre,15094.0,13845.0,11295.0,CA(R),0.99,325.0,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)",8693.852090835571
425790257,1734350788,CA(R),CA(R),15030,12895,11212,15034,12918,11197,0.975,0.810516,APL_R,APL,DA1_lPN_R,DA1_lPN,18726.0,21992.0,pre,15030.0,12895.0,11212.0,CA(R),0.975,351.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",10331.82050037384
425790257,1734350788,CA(R),CA(R),15349,13373,11023,15347,13342,11031,0.96,0.608656,APL_R,APL,DA1_lPN_R,DA1_lPN,23451.0,7191.0,pre,15349.0,13373.0,11023.0,CA(R),0.96,278.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)",10625.60901260376
425790257,1734350788,CA(R),CA(R),14988,13078,11205,15006,13072,11204,0.989,0.942579,APL_R,APL,DA1_lPN_R,DA1_lPN,13555.0,22227.0,pre,14988.0,13078.0,11205.0,CA(R),0.989,351.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",10741.657544136047
425790257,1734350788,CA(R),CA(R),15056,13291,11180,15074,13287,11184,0.994,0.967763,APL_R,APL,DA1_lPN_R,DA1_lPN,8958.0,22229.0,pre,15056.0,13291.0,11180.0,CA(R),0.994,351.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",10947.040001869202
425790257,1734350788,CA(R),CA(R),16178,15756,10953,16190,15740,10949,0.999,0.925025,APL_R,APL,DA1_lPN_R,DA1_lPN,21255.0,83.0,pre,16178.0,15756.0,10953.0,CA(R),0.999,317.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",3569.4553604125977
425790257,1734350788,CA(R),CA(R),16407,15741,10965,16399,15709,10984,0.963,0.515896,APL_R,APL,DA1_lPN_R,DA1_lPN,1871.0,104.0,pre,16407.0,15741.0,10965.0,CA(R),0.963,317.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",3468.7158737182617
425790257,1734350788,CA(R),CA(R),16582,15506,11036,16573,15501,11026,0.986,0.974826,APL_R,APL,DA1_lPN_R,DA1_lPN,21254.0,135.0,pre,16582.0,15506.0,11036.0,CA(R),0.986,317.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",2995.2506103515625
425790257,1734350788,CA(R),CA(R),14843,14747,11235,14837,14727,11221,0.983,0.98765,APL_R,APL,DA1_lPN_R,DA1_lPN,21320.0,2283.0,pre,14843.0,14747.0,11235.0,CA(R),0.983,310.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",8234.406616210938
425790257,1734350788,CA(R),CA(R),14797,14668,11160,14810,14672,11153,0.996,0.713477,APL_R,APL,DA1_lPN_R,DA1_lPN,21322.0,2284.0,pre,14797.0,14668.0,11160.0,CA(R),0.996,310.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",8335.36205291748
425790257,1733677514,CA(R),CA(R),13126,14566,13180,13136,14533,13173,0.988,0.46618533,APL_R,APL,M_l2PNm16_R,M_l2PNm16,2906.0,26527.0,pre,13126.0,14566.0,13180.0,CA(R),0.988,134.0,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)",12194.672313690186
425790257,1733677514,CA(R),CA(R),13110,14565,13125,13104,14533,13145,0.996,0.45752728,APL_R,APL,M_l2PNm16_R,M_l2PNm16,2907.0,26527.0,pre,13110.0,14565.0,13125.0,CA(R),0.996,134.0,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)",12194.672313690186
425790257,1727979406,CA(R),CA(R),14607,13320,10035,14589,13290,9990,0.982,0.45455217,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,34245.0,11663.0,pre,14607.0,13320.0,10035.0,CA(R),0.982,523.0,"(1.0, 0.7333333333333333, 0.47058823529411764)",14984.386646270752
425790257,1727979406,CA(R),CA(R),11713,14764,10093,11719,14761,10074,0.971,0.998732,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,46798.0,15454.0,pre,11713.0,14764.0,10093.0,CA(R),0.971,462.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",13440.252533912659
425790257,1727979406,CA(R),CA(R),12056,15074,10161,12070,15058,10157,0.972,0.986165,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,42834.0,15598.0,pre,12056.0,15074.0,10161.0,CA(R),0.972,459.0,"(0.6196078431372549, 0.8549019607843137, 0.8980392156862745)",13573.205620765686
425790257,1727979406,CA(R),CA(R),14740,12342,12483,14715,12356,12467,0.97,0.47659516,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,3414.0,19073.0,pre,14740.0,12342.0,12483.0,CA(R),0.97,382.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",10206.443336486816
425790257,1727979406,CA(R),CA(R),14777,12022,12323,14801,12022,12325,0.899,0.923505,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,17967.0,19079.0,pre,14777.0,12022.0,12323.0,CA(R),0.899,370.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",10615.08120727539
425790257,1727979406,CA(R),CA(R),14830,12309,12313,14815,12317,12317,0.974,0.875716,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,61276.0,19075.0,pre,14830.0,12309.0,12313.0,CA(R),0.974,370.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",10353.811233520508
425790257,1727979406,CA(R),CA(R),14577,12555,12522,14587,12570,12516,0.994,0.969073,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,31392.0,19133.0,pre,14577.0,12555.0,12522.0,CA(R),0.994,382.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",10405.256778717041
425790257,1727979406,CA(R),CA(R),12858,14949,12487,12855,14965,12491,0.994,0.997587,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,59354.0,179843.0,pre,12858.0,14949.0,12487.0,CA(R),0.994,215.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",15233.354724884033
425790257,1727979406,CA(R),CA(R),13029,15290,12288,13018,15279,12300,0.992,0.892401,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,30280.0,179794.0,pre,13029.0,15290.0,12288.0,CA(R),0.992,215.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",14613.65640258789
425790257,1727979406,CA(R),CA(R),12971,15278,12288,12972,15276,12303,0.993,0.984719,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,101315.0,179794.0,pre,12971.0,15278.0,12288.0,CA(R),0.993,215.0,"(0.7803921568627451, 0.7803921568627451, 0.7803921568627451)",14613.65640258789
425790257,1727979406,CA(R),CA(R),12760,15279,12376,12771,15277,12376,0.977,0.999041,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,9689.0,178141.0,pre,12760.0,15279.0,12376.0,CA(R),0.977,211.0,"(0.7686274509803922, 0.611764705882353, 0.5803921568627451)",14069.010637283325
425790257,1727979406,CA(R),CA(R),14970,14367,14277,14984,14376,14267,0.964,0.989154,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,41996.0,28346.0,pre,14970.0,14367.0,14277.0,CA(R),0.964,144.0,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",11895.78514289856
425790257,1727979406,CA(R),CA(R),15031,14268,14264,15035,14265,14250,0.991,0.950002,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,16826.0,28593.0,pre,15031.0,14268.0,14264.0,CA(R),0.991,144.0,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",12097.546388626099
425790257,1727979406,CA(R),CA(R),15471,14314,14211,15436,14314,14223,0.95,0.625709,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,17203.0,170507.0,pre,15471.0,14314.0,14211.0,CA(R),0.95,57.0,"(0.8588235294117647, 0.8588235294117647, 0.5529411764705883)",19601.013528823853
425790257,1727979406,CA(R),CA(R),15083,14498,14242,15090,14497,14229,0.993,0.961209,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,6717.0,28620.0,pre,15083.0,14498.0,14242.0,CA(R),0.993,145.0,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353)",11932.38970375061
425790257,1727979406,CA(R),CA(R),14945,14748,14081,14928,14733,14079,0.89,0.879998,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,36317.0,28706.0,pre,14945.0,14748.0,14081.0,CA(R),0.89,182.0,"(1.0, 0.4980392156862745, 0.054901960784313725)",12434.895490646362
425790257,1727979406,CA(R),CA(R),12770,14207,9392,12783,14207,9376,0.968,0.987816,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,43597.0,16168.0,pre,12770.0,14207.0,9392.0,CA(R),0.968,470.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",15564.699231147766
425790257,1727979406,CA(R),CA(R),12750,14108,9266,12774,14135,9223,0.925,0.47822082,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,43668.0,15999.0,pre,12750.0,14108.0,9266.0,CA(R),0.925,468.0,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)",15564.407464027405
425790257,1727979406,CA(R),CA(R),12685,14179,9271,12696,14189,9280,0.953,0.99695,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,37753.0,16170.0,pre,12685.0,14179.0,9271.0,CA(R),0.953,470.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)",15627.309136390686
425790257,1727979406,CA(R),CA(R),15034,13081,9426,15018,13096,9426,0.965,0.993904,APL_R,APL,VP1d+VP4_l2PN1_R,VP1d+VP4_l2PN1,48646.0,878.0,pre,15034.0,13081.0,9426.0,CA(R),0.965,320.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",8101.943431854248
