acq,stim,peak_amp_thresh,max_sparsity,min_sparsity,kc_soma
0,1-5ol @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.07953950811093669
0,1-6ol @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.08738880167451596
0,1-8ol @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.06645735217163788
0,2-but @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.10727367870225013
0,2h @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.10282574568288853
0,6al @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.0630559916274202
0,B-cit @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.013343799058084773
0,IaA @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.1075353218210361
0,Lin @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.0803244374672946
0,aa @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.12899005756148613
0,benz @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.06593406593406594
0,eb @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.09262166405023547
0,ep @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.12140240711669283
0,ms @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.07456828885400314
0,pa @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.10308738880167452
0,t2h @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.08346415489272632
0,va @ -3.0,1.1,0.12899005756148613,0.013343799058084773,0.061486132914704346
1,1-5ol @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.0817824377457405
1,1-6ol @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.08650065530799476
1,1-8ol @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.0799475753604194
1,2-but @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.11533420707732635
1,2h @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.10301441677588466
1,6al @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.0581913499344692
1,B-cit @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.03014416775884666
1,IaA @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.10432503276539974
1,Lin @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.08099606815203146
1,aa @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.12424639580602884
1,benz @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.07234600262123198
1,eb @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.12136304062909567
1,ep @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.12214941022280472
1,ms @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.08597640891218873
1,pa @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.10747051114023591
1,t2h @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.09724770642201835
1,va @ -3.0,0.95,0.12424639580602884,0.03014416775884666,0.07339449541284404
2,1-5ol @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.06840468787371443
2,1-6ol @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.18225304950968668
2,1-8ol @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.06840468787371443
2,2-but @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.11002152595072949
2,2h @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.06362114326716097
2,6al @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.09567089213106912
2,B-cit @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.05812006696962449
2,IaA @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.08897392968189428
2,Lin @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.0676871561827314
2,aa @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.1284381726859603
2,benz @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.11576177947859363
2,eb @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.1258072231523559
2,ep @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.1250896914613729
2,ms @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.03874671131308299
2,pa @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.12963405883759865
2,t2h @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.07438411863190625
2,va @ -3.0,1.75,0.18225304950968668,0.03874671131308299,0.06744797895240373
3,1-5ol @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.1039939713639789
3,1-6ol @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.10361718161266013
3,1-8ol @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.0693293142426526
3,2-but @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.09608138658628486
3,2h @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.1473247927656368
3,6al @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.10776186887716654
3,B-cit @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.05086661642803316
3,IaA @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.13187641296156744
3,Lin @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.010173323285606632
3,aa @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.11793519216277318
3,benz @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.07950263752825923
3,eb @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.1333835719668425
3,ep @ -3.0,1.2,0.1480783722682743,0.010173323285606632,0.12358703843255464
