fly_id,odor,glomerulus,delta_f_over_f,to-avg-max_scaled_delta_f_over_f (X_train),hallem_delta_spike_rate (y_train),date,fly_num
1,eb @ -3,DM2,1.7030972036479977,1.962577177640687,193,2023-04-22,2
1,ep @ -3,DM2,1.3330070531739862,1.5361009427938923,188,2023-04-22,2
1,B-cit @ -3,DM2,0.03566178740644347,0.04109513533804474,25,2023-04-22,2
1,Lin @ -3,DM2,0.022801845438142985,0.026275882180497673,52,2023-04-22,2
1,6al @ -3,DM2,0.6740615993895474,0.7767600747933155,139,2023-04-22,2
1,t2h @ -3,DM2,0.07596867845127808,0.08754309162427441,49,2023-04-22,2
1,1-8ol @ -3,DM2,0.33367077765643244,0.38450809012630033,53,2023-04-22,2
1,1-5ol @ -3,DM2,1.4057535122014968,1.619930885051888,179,2023-04-22,2
1,1-6ol @ -3,DM2,0.9076248263267894,1.0459084579515352,63,2023-04-22,2
1,benz @ -3,DM2,0.16776053640638947,0.1933201459991292,32,2023-04-22,2
1,ms @ -3,DM3,0.0015819024882489606,0.0018229175140681497,-6,2023-04-22,2
1,ms @ -3,DM3,-0.004870354889660884,-0.00561239096217479,-6,2023-04-22,2
1,a-terp @ -3,DM3,0.021052373640295736,0.024259864882115286,12,2023-04-22,2
1,carene @ -3,DM3,0.012031169514010029,0.013864210837728975,5,2023-04-22,2
1,2h @ -3,DM3,1.0880166686758834,1.253784386623462,209,2023-04-22,2
1,IaA @ -3,DM3,1.03315725495016,1.190566718761501,122,2023-04-22,2
1,pa @ -3,DM3,1.3956906615567988,1.6083348816206164,241,2023-04-22,2
1,2-but @ -3,DM3,0.007819946944193072,0.009011376080097411,16,2023-04-22,2
1,eb @ -3,DM3,0.18807053698393172,0.2167245315655986,74,2023-04-22,2
1,ep @ -3,DM3,0.06096362769477857,0.07025190583583682,55,2023-04-22,2
1,B-cit @ -3,DM3,0.0075426051780692295,0.008691779160182725,-1,2023-04-22,2
1,Lin @ -3,DM3,0.04349360156511961,0.05012018669413741,20,2023-04-22,2
1,6al @ -3,DM3,0.02101031808637568,0.024211401840698893,46,2023-04-22,2
1,t2h @ -3,DM3,0.04980954094723914,0.05739840807818929,37,2023-04-22,2
1,1-8ol @ -3,DM3,0.0747420537935089,0.08612958125404269,7,2023-04-22,2
1,1-5ol @ -3,DM3,0.1303605233640505,0.15022195296403032,62,2023-04-22,2
1,1-6ol @ -3,DM3,0.15468958122493318,0.17825773014045548,58,2023-04-22,2
1,benz @ -3,DM3,0.007459342300494904,0.008595830542028669,22,2023-04-22,2
1,ms @ -3,DM4,0.14457894733667517,0.16660666332050383,-4,2023-04-22,2
1,ms @ -3,DM4,0.13776964471484274,0.15875991100793335,-4,2023-04-22,2
1,a-terp @ -3,DM4,0.210393422752902,0.24244848088300702,-8,2023-04-22,2
1,carene @ -3,DM4,0.10806962559025275,0.12453486525918844,-4,2023-04-22,2
1,2h @ -3,DM4,0.4791634367697965,0.5521676762488792,25,2023-04-22,2
1,IaA @ -3,DM4,0.4272548352318923,0.49235039953483034,46,2023-04-22,2
