glomerulus,spontaneous firing rate
DA3,9
DA4l,21
DA4m,8
DC1,29
DL1,14
DL3,18
DL4,7
DL5,17
DM2,4
DM3,1
DM4,2
DM5,14
DM6,11
VA1d,26
VA1v,47
VA5,8
VA6,16
VC3,17
VC4,6
VM2,2
VM3,3
VM5d,13
VM5v,12
