panel,odor1,D,DA1,DA2,DA3,DA4l,DA4m,DC1,DC2,DC3,DC4,DL1,DL2d,DL2v,DL3,DL4,DL5,DM1,DM2,DM3,DM4,DM5,DM6,DP1l,DP1m,V,VA1d,VA1v,VA2,VA3,VA4,VA5,VA6,VA7l,VA7m,VC1,VC2,VC3,VC4,VC5,VL1,VL2a,VL2p,VM1,VM2,VM3,VM4,VM5d,VM5v,VM7d,VM7v,VP1d,VP1m,VP2,VP4
glomeruli_diagnostics,farn @ -2,0.08936240024553198,0.0,0.10048185490897228,0.0,0.0,0.0,0.19612484628054988,0.08825599926110438,0.29222597804804556,0.023492521975633115,0.045417821035677895,0.08600056002984743,0.14590133713905132,0.0,0.02587585875062672,0.14024833135452494,0.13839255797948527,0.07327789040927957,0.04080371892340621,0.08797148668054561,0.07653081082578515,0.054141897615428716,0.03586045177202039,0.22070060106734724,0.0,0.0,0.0,0.21919290317762405,0.09259279195127132,0.043662543213487996,0.049894958506855214,0.18764126223463398,0.1153824818691017,0.08095156547367041,0.05697576584437718,0.04525075373444247,0.059342108753175,0.08971124906611068,0.0,0.01875793029395479,0.06562361648610761,0.04726545100713306,0.0,0.11312738652545867,0.11996430509687692,0.044374708318036554,0.14532841270303717,0.411504973491979,0.07990651211404055,0.06723934377623317,0.0,0.0,0.0,0.0
glomeruli_diagnostics,4h-ol @ -6,0.07496485327799723,0.0,0.055562645548642396,0.0,0.0,0.0,0.21969963100169143,0.0978499189061985,0.06918457791771286,0.08249614130397566,0.21819963519518645,0.13006556516631998,0.20160249737932098,0.0,0.07622732985324983,0.06642852562938113,0.2880705467942608,0.08952306424785664,0.045813346965503814,0.12536366348791997,0.20835189845712346,0.052856880914696654,0.03789759292630179,0.10600995421924829,0.0,0.0,0.0,0.1759783232693732,0.09731049125550663,0.04230439486705678,0.054993655497180105,0.07231012890719722,0.11832802956655263,0.1384343757760131,0.06244571298398933,0.029951078796090505,0.05505118217079352,0.058445755874889614,0.0,0.04841498138558368,0.06997536640596781,0.08369970520172748,0.0,0.2651091536355412,0.0650977539019528,0.05564474066191828,0.1263450605562255,0.09769860319318593,0.1084482200804243,0.05679217627159083,0.0,0.0,0.0,0.0
glomeruli_diagnostics,"2,3-b @ -6",0.06538676958403705,0.0,0.07821191351028499,0.0,0.0,0.0,0.1670096319336566,0.0827309056380414,0.15568281839210865,0.060771372203982384,0.11030362520132737,0.15147120983293183,0.24980395838898659,0.0,0.06882970108387326,0.06343109422006223,0.20700533897592416,0.06364919078075847,0.03490524786369825,0.2637043337934481,0.23332149697683374,0.0529908100882056,0.027209528772381582,0.18546352853139145,0.0,0.0,0.0,0.24296587495755667,0.0850855317912672,0.033975962962525016,0.029014517193677803,0.07062258488923923,0.07208274782015611,0.09446990114882474,0.06087829643366265,0.03792268198678568,0.04875125333116191,0.053115545145516106,0.0,0.02794192271644888,0.0598106170498259,0.07828416334295432,0.0,0.10815597751196505,0.11286648762921439,0.02374299755077286,0.11950010434044468,0.11663586118409329,0.1058701771977185,0.05343605548067521,0.0,0.0,0.0,0.0
glomeruli_diagnostics,p-cre @ -3,0.2789778324555817,0.0,0.11030792078468059,0.0,0.0,0.0,0.21837994634518737,0.12063546024324705,0.11247527543831683,0.0346729258657014,0.2517899117478645,0.06266527560137654,0.13222984574576013,0.0,0.0403224015190509,0.1310283613843229,0.10886091912206011,0.045182125949278916,0.06091814579325091,0.07628169934060323,0.12047345589750529,0.08781345999654555,0.05945815040718171,0.1035253636268804,0.0,0.0,0.0,0.08880963276095176,0.07494919347860748,0.045671022412441926,0.3057010860045862,0.09629727395333973,0.29995393536485565,0.1794307372790107,0.2796781934081065,0.4510526089978341,0.10075024576899605,0.09521736499496711,0.0,0.02525988456381265,0.05199323183215791,0.10228971345787027,0.0,0.24176927913821467,0.07887314259218549,0.07265911481176145,0.07462515981847272,0.29174743406164155,0.20804068088801492,0.1412601177501994,0.0,0.0,0.0,0.0
glomeruli_diagnostics,aphe @ -5,0.06999814794775544,0.0,0.0467312964479773,0.0,0.0,0.0,0.11141564358985052,0.09141004344335432,0.09958822063367737,0.017059795888644657,0.0759258675536055,0.03493260353515898,0.08389919833678303,0.0,,0.049783646710217094,0.0802421888876507,0.04746458171320265,0.015673752265233685,0.05223052640290524,0.06620957976166804,0.04985797408920986,0.03069599000004334,0.08966719041186388,0.0,0.0,0.0,0.029929259213488806,0.04324370908234472,0.04040171786752,0.03171673802974278,0.035636086584852004,0.06875106895505839,0.07642358229545038,0.05455000060295332,0.08409922309346829,0.05517413497951191,0.04567705404059018,0.0,0.02962249619878369,0.05181689446177493,0.054904491628520645,0.0,0.05739092822396402,0.0202868412063556,,0.09340392913621419,0.04498697380923701,0.06083226350405569,0.04670031643332898,0.0,0.0,0.0,0.0
glomeruli_diagnostics,aphe @ -4,0.1738203538529909,0.0,0.08079156812456964,0.0,0.0,0.0,0.12955233339686106,0.04257676105247348,0.13984966515630678,0.04627776854003558,0.1771841911185551,0.12573253386042754,0.2150838105467445,0.0,0.08308608338247007,0.06065494385576304,0.17518031403403847,0.03614657094952409,0.0350729784134586,0.1803122115318234,0.24628134830730836,0.23815923841065817,0.035128858256167746,0.12525293860666112,0.0,0.0,0.0,0.05982876874136313,0.2106124099799982,0.05286324542924585,0.08695263655682381,0.07097118166043488,0.06575710181139545,0.04474460624898207,0.33620965390376045,0.12580248202779276,0.05082609407120295,0.03218714194483595,0.0,0.010152746006115087,0.0732569802770646,0.051411837295204314,0.0,0.06989887550269593,0.044752381964727694,0.02541700259915523,0.1277022767287463,0.1190382223639239,0.10463438479335878,0.06540293994779457,0.0,0.0,0.0,0.0
glomeruli_diagnostics,1-6ol @ -6,0.10937062736841859,0.0,0.0501560178106519,0.0,0.0,0.0,0.30124220027496135,0.1275714617955046,0.10000475872996474,0.04430738900466697,0.06117391081312907,0.09541203098278904,0.1299393457680059,0.0,0.06414292284065559,0.11673968682086444,0.2007397422718516,0.08140732915362967,0.02177381825203319,0.10702441523700955,0.06294596642935218,0.053402223525291136,0.04572628945818256,0.15054736979652142,0.0,0.0,0.0,0.057487143865227776,0.07283843048832048,0.025018773762389337,0.02575515333282841,0.07134278328491613,0.12298704671296659,0.12772332460548094,0.07411316152943416,0.03896553559717047,0.32310021052274107,0.04828428058737404,0.0,0.012434302120015587,0.048241788157279114,0.06855860019603831,0.0,0.07605349288795346,0.0552492747814409,0.04290385640448249,0.19545258298465715,0.08247387541450152,0.12347988357316415,0.12582386036141835,0.0,0.0,0.0,0.0
glomeruli_diagnostics,PAA @ -5,0.05534571346019451,0.0,0.05930790357230799,0.0,0.0,0.0,0.3998722947627089,0.06795322533232817,0.14139352344121156,0.04782455142838665,0.06628928435210894,0.1345096853486598,0.21321195010433966,0.0,0.051182588634061076,0.10458006643490125,0.23938784920846878,0.08028402327715528,0.027417975329243695,0.10331642314474294,0.06589326183385044,0.051987552794465174,0.06262784370263143,0.14450816377306572,0.0,0.0,0.0,0.06557229192664794,0.19910188338091594,0.01819109834272645,0.05535185175105905,0.07596474133258095,0.1542486548040435,0.10657589734600988,0.07834489410160064,0.053888200352640386,0.04078508757498826,0.04926680408288076,0.0,0.019763234634925804,0.29862934156805054,0.08014618903042788,0.0,0.08490357416784727,0.043521642668914264,0.058221631881706135,0.1390728801137263,0.04831332233119985,0.11055631385945437,0.09075465546391759,0.0,0.0,0.0,0.0
glomeruli_diagnostics,fench @ -5,0.09558781391398712,0.0,0.07522864905875139,0.0,0.0,0.0,0.452608957626212,0.08089197766997461,0.17537806822289434,0.04630326772541567,0.07241064653221255,0.10007847575337718,0.12389459426917784,0.0,0.027661882048124045,0.0805813903497725,0.29011268327411754,0.06943459607046142,0.022207378533318802,0.11754327626401567,0.04519123053768644,0.057334044506386204,0.06279559099834292,0.1529835433228832,0.0,0.0,0.0,0.15087719053011428,0.0644673131289186,0.027976495580189976,0.037186884402940594,0.13729955682291364,0.05802748706581534,0.09716512382900447,0.2289873110693675,0.04901646348481514,0.0690795572306683,0.06339023971540311,0.0,0.017212151130062834,0.05387820552214506,0.10442560445233844,0.0,0.0792670985314404,0.07730090129162294,0.05918852815828219,0.15315542074619434,0.06743128484148915,0.12065637353026604,0.06160728213323568,0.0,0.0,0.0,0.0
glomeruli_diagnostics,elac @ -7,0.09688934167678967,0.0,0.07270727043034458,0.0,0.0,0.0,0.4470144760719215,0.11581109673647676,0.22232267524458357,0.032295845941783,0.11182554939375842,0.14697779531935568,0.1423957765097078,0.0,0.04513545448687703,0.10178482047731667,0.23510165236298142,0.1081675300964186,0.040525604184749556,0.16881438679439406,0.07187694817086647,0.04959198023468205,0.07020631994732995,0.19027288730449,0.0,0.0,0.0,0.4434284362442689,0.12700901830450448,0.027123430392046607,0.0436198682406079,0.05884444063775939,0.10670227446615627,0.14696588864022403,0.08568895046734942,0.036788977121930654,0.04926275406371749,0.22141998552744108,0.0,0.008790583513588197,0.09475706998621838,0.04856767842413001,0.0,0.13136746815914893,0.11208786439826152,0.04112214417625559,0.1536151820414323,0.21069395374669694,0.12886795989568972,0.07729890684281351,0.0,0.0,0.0,0.0
