row_olfactometer_name	row_olfactometer_abbrev	row_cid	row_CanonicalSMILES	row_IsomericSMILES	row_InChI	row_InChIKey	row_IUPACName	col_olfactometer_name	col_olfactometer_abbrev	col_cid	col_CanonicalSMILES	col_IsomericSMILES	col_InChI	col_InChIKey	col_IUPACName	maccs	ecfp	fcfp	topological	atompair	rdkit	pattern	layered	erg	estate	avalon-count	ecfp-count	fcfp-count	atompair-count
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	benzaldehyde	benz	240	C1=CC=C(C=C1)C=O	C1=CC=C(C=C1)C=O	InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H	HUMNYLRZRPPJDN-UHFFFAOYSA-N	benzaldehyde	0.9565217391304348	1.0	0.95	1.0	1.0	1.0	0.686046511627907	0.8461538461538461	1.0	1.0	1.0	1.0	1.0	1.0
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	ethyl butyrate	eb	7762	CCCC(=O)OCC	CCCC(=O)OCC	InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3	OBNCKNCVKJNDBV-UHFFFAOYSA-N	ethyl butanoate	0.48	0.8214285714285714	0.7894736842105263	1.0	0.8648648648648649	0.78125	0.5362318840579711	0.6301369863013698	1.0	1.0	0.7741935483870968	0.9166666666666666	0.9473684210526315	0.9259259259259259
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	ethyl propionate	ep	7749	CCC(=O)OCC	CCC(=O)OCC	InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3	FKRCODPIKNYEAC-UHFFFAOYSA-N	ethyl propanoate	0.5833333333333334	0.84	0.8421052631578947	1.0	0.90625	0.8076923076923077	0.5	0.5967741935483871	1.0	1.0	0.9090909090909091	0.9565217391304348	0.9473684210526315	1.0
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	methyl salicylate	ms	4133	COC(=O)C1=CC=CC=C1O	COC(=O)C1=CC=CC=C1O	InChI=1S/C8H8O3/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5,9H,1H3	OSWPMRLSEDHDFF-UHFFFAOYSA-N	methyl 2-hydroxybenzoate	0.8857142857142857	0.9487179487179487	0.9259259259259259	0.9444444444444444	0.967741935483871	0.9923076923076923	0.802547770700637	0.9054054054054054	1.0	0.75	0.9682539682539683	0.96875	0.9629629629629629	0.9787234042553191
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	pentyl acetate	pa	12348	CCCCCOC(=O)C	CCCCCOC(=O)C	InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3	PGMYKACGEOXYJE-UHFFFAOYSA-N	pentyl acetate	0.4166666666666667	0.7142857142857143	0.6666666666666666	0.7142857142857143	0.775	0.7096774193548387	0.5428571428571428	0.6282051282051282	1.0	0.8333333333333334	0.72	0.6956521739130435	0.7777777777777778	0.9117647058823529
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	trans-2-hexenal	t2h	5281168	CCCC=CC=O	CCC/C=C/C=O	InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3/b5-4+	MBDOYVRWFFCFHM-SNAWJCMRSA-N	(E)-hex-2-enal	0.6666666666666666	0.8571428571428571	0.7777777777777778	1.0	0.9	0.8636363636363636	0.36363636363636365	0.4	0.0	0.8	0.9032258064516129	0.875	0.8888888888888888	0.9130434782608695
1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	pentanoic acid	va	7991	CCCCC(=O)O	CCCCC(=O)O	InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)	NQPDZGIKBAWPEJ-UHFFFAOYSA-N	pentanoic acid	0.36363636363636365	0.6818181818181818	0.8	0.8333333333333334	0.64	0.5263157894736842	0.4666666666666667	0.4423076923076923	1.0	0.6	0.5555555555555556	0.8	0.9	0.7619047619047619
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	1-pentanol	1-5ol	6276	CCCCCO	CCCCCO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	AMQJEAYHLZJPGS-UHFFFAOYSA-N	pentan-1-ol	0.05	0.29411764705882354	0.0	0.25	0.2777777777777778	0.18181818181818182	0.13513513513513514	0.17142857142857143	0.0	0.3333333333333333	0.1111111111111111	0.23076923076923078	0.3	0.5714285714285714
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-hexanol	1-6ol	8103	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	1-octanol	1-8ol	957	CCCCCCCCO	CCCCCCCCO	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	KBPLFHHGFOOTCA-UHFFFAOYSA-N	octan-1-ol	0.0	0.21052631578947367	0.0	0.2	0.42857142857142855	0.21428571428571427	0.2127659574468085	0.16666666666666666	0.0	0.3333333333333333	0.058823529411764705	0.23076923076923078	0.3	0.6111111111111112
