olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name
1-pentanol	1-5ol	159796490	92.17	CCCCCO	[2H]C([2H])(CC)C([2H])([2H])CO	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i3D2,4D2	AMQJEAYHLZJPGS-KHORGVISSA-N	2,2,3,3-tetradeuteriopentan-1-ol	2,2,3,3-tetradeuteriopentan-1-ol
1-pentanol	1-5ol	159796491	92.17	CCCCCO	[2H]C([2H])(C)CCC([2H])([2H])O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i2D2,5D2	AMQJEAYHLZJPGS-CNNQADKRSA-N	1,1,4,4-tetradeuteriopentan-1-ol	1,1,4,4-tetradeuteriopentan-1-ol
1-pentanol	1-5ol	159796492	96.20	CCCCCO	[2H]C([2H])(C)C([2H])([2H])C([2H])([2H])C([2H])([2H])O	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3/i2D2,3D2,4D2,5D2	AMQJEAYHLZJPGS-UDCOFZOWSA-N	1,1,2,2,3,3,4,4-octadeuteriopentan-1-ol	1,1,2,2,3,3,4,4-octadeuteriopentan-1-ol
1-hexanol	1-6ol	8103	102.17	CCCCCCO	CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	hexan-1-ol	1-hexanol
1-hexanol	1-6ol	10034598	104.17	CCCCCCO	CCCCC[14CH2]O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i6+2	ZSIAUFGUXNUGDI-ZQBYOMGUSA-N	(114C)hexan-1-ol	(114C)hexan-1-ol
1-hexanol	1-6ol	10678196	106.20	CCCCCCO	[2H]C([2H])C([2H])([2H])CCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D2,2D2	ZSIAUFGUXNUGDI-LNLMKGTHSA-N	5,5,6,6-tetradeuteriohexan-1-ol	5,5,6,6-tetradeuteriohexan-1-ol
1-hexanol	1-6ol	11815300	104.19	CCCCCCO	[2H]CC([2H])CCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D,2D	ZSIAUFGUXNUGDI-QDNHWIQGSA-N	5,6-dideuteriohexan-1-ol	1-hexanol-d2
1-hexanol	1-6ol	12225313	104.19	CCCCCCO	[2H]C([2H])(CCCCC)O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i6D2	ZSIAUFGUXNUGDI-NCYHJHSESA-N	1,1-dideuteriohexan-1-ol	1-hexanol-d3
1-hexanol	1-6ol	12225314	103.18	CCCCCCO	[2H]CCCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D	ZSIAUFGUXNUGDI-MICDWDOJSA-N	6-deuteriohexan-1-ol	schembl10138027
1-hexanol	1-6ol	12225317	103.18	CCCCCCO	[2H]C(CCCCC)O	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i6D	ZSIAUFGUXNUGDI-RAMDWTOOSA-N	1-deuteriohexan-1-ol	1-deuterohexanol
1-hexanol	1-6ol	12225318	105.19	CCCCCCO	[2H]C([2H])([2H])CCCCCO	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3/i1D3	ZSIAUFGUXNUGDI-FIBGUPNXSA-N	6,6,6-trideuteriohexan-1-ol	hexanol-d3
